5346.90872 17.284 0.013
5347.90433 17.186 0.013
5353.91885 17.414 0.010
5359.93651 17.470 0.013
5365.90990 17.161 0.010
5376.91447 17.475 0.013
5378.91562 17.456 0.011
5380.88904 17.347 0.013
5381.89791 17.267 0.012
5382.92040 17.225 0.012
5384.91898 17.008 0.010
5385.91086 17.479 0.009
5386.88122 17.485 0.009
5387.89288 17.459 0.009
5389.86410 17.343 0.009
5390.86658 17.255 0.008
5391.94614 17.232 0.010
5393.87997 17.288 0.011
5395.86593 17.464 0.014
5399.80471 17.189 0.009
5400.85919 17.130 0.009
5401.84670 16.994 0.012
5403.84545 17.494 0.013
5404.82700 17.464 0.011
5405.83260 17.426 0.010
5407.86611 17.318 0.011
5408.82326 17.185 0.009
5409.82474 17.068 0.008
5410.82634 17.142 0.009
5411.81354 17.414 0.011
5412.80443 17.504 0.012
5414.80695 17.417 0.008
5416.87584 17.294 0.011
5421.78226 17.488 0.010
5422.87302 17.476 0.010
5425.85777 17.253 0.010
5426.82394 17.154 0.008
5427.85946 17.046 0.008
5428.76279 17.465 0.010
5430.74404 17.470 0.012
5432.78874 17.380 0.015
5433.79255 17.289 0.011
5434.75610 17.163 0.009
5435.75986 17.036 0.008
5436.76922 17.179 0.008
5437.81152 17.473 0.009
5438.74659 17.493 0.010
5439.72591 17.456 0.011
5443.72604 17.127 0.008
5444.73445 16.985 0.008
5445.75185 17.423 0.008
5447.73910 17.498 0.009
5448.70321 17.436 0.009
5449.69811 17.360 0.010
5450.74261 17.317 0.009
5451.67515 17.161 0.008
5453.77010 16.990 0.008
5454.72009 17.450 0.009
5457.67160 17.405 0.008
5458.70680 17.355 0.009
5459.70667 17.221 0.008
5462.66008 17.465 0.012
5463.72135 17.445 0.011
5464.75315 17.485 0.012
5465.76058 17.480 0.014
5467.68109 17.318 0.008
5468.66095 17.248 0.010
5469.70515 17.164 0.008
5470.65551 16.993 0.008
5471.65320 17.491 0.010
5472.66087 17.482 0.011
5473.68288 17.498 0.009
5475.77656 17.440 0.009
5476.67780 17.295 0.009
5477.63668 17.173 0.008
5478.60362 17.009 0.008
5479.69065 16.974 0.008
5480.61352 17.448 0.011
5481.59031 17.488 0.013
5482.60520 17.415 0.012
5483.57333 17.375 0.013
5484.60634 17.309 0.011
5485.57703 17.230 0.011
5487.62431 17.010 0.008
5488.57035 17.452 0.011
5489.59217 17.491 0.012
5490.58916 17.453 0.013
5491.57095 17.470 0.014
5492.58210 17.371 0.011
5493.55203 17.257 0.012
5494.59306 17.227 0.010
5495.58281 17.079 0.008
5497.56225 17.452 0.011
